T,N,degree,epsilon,m_psi
2.999999999999999889e-01,8.000000000000000000e+02,3.000000000000000000e+01,5.000000000000000000e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,3.000000000000000000e+01,5.500000000000000444e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,3.000000000000000000e+01,6.000000000000000888e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,3.000000000000000000e+01,6.500000000000000222e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,3.000000000000000000e+01,7.000000000000000666e-01,3.689800000000000024e-03
2.999999999999999889e-01,8.000000000000000000e+02,3.000000000000000000e+01,7.500000000000000000e-01,2.120749999999999805e-03
2.999999999999999889e-01,8.000000000000000000e+02,3.000000000000000000e+01,8.000000000000000444e-01,3.972230000000000205e-03
2.999999999999999889e-01,8.000000000000000000e+02,3.000000000000000000e+01,8.500000000000000888e-01,2.470490000000000099e-03
2.999999999999999889e-01,8.000000000000000000e+02,3.000000000000000000e+01,9.000000000000000222e-01,6.999029999999999835e-04
2.999999999999999889e-01,8.000000000000000000e+02,3.000000000000000000e+01,9.500000000000000666e-01,2.443739999999999801e-03
2.999999999999999889e-01,8.000000000000000000e+02,3.000000000000000000e+01,1.000000000000000000e+00,2.029369999999999959e-03
2.999999999999999889e-01,8.000000000000000000e+02,3.500000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,3.500000000000000000e+01,5.000000000000000278e-02,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,3.500000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,3.500000000000000000e+01,1.500000000000000222e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,3.500000000000000000e+01,2.000000000000000111e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,3.500000000000000000e+01,2.500000000000000000e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,3.500000000000000000e+01,3.000000000000000444e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,3.500000000000000000e+01,3.500000000000000333e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,3.500000000000000000e+01,4.000000000000000222e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,3.500000000000000000e+01,4.500000000000000111e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,3.500000000000000000e+01,5.000000000000000000e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,3.500000000000000000e+01,5.500000000000000444e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,3.500000000000000000e+01,6.000000000000000888e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,3.500000000000000000e+01,6.500000000000000222e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,3.500000000000000000e+01,7.000000000000000666e-01,1.356489999999999909e-03
2.999999999999999889e-01,8.000000000000000000e+02,3.500000000000000000e+01,7.500000000000000000e-01,5.290580000000000022e-04
2.999999999999999889e-01,8.000000000000000000e+02,3.500000000000000000e+01,8.000000000000000444e-01,3.542050000000000146e-03
2.999999999999999889e-01,8.000000000000000000e+02,3.500000000000000000e+01,8.500000000000000888e-01,1.602710000000000029e-03
